run_accession	sample_accession	sample_alias	sample_title	experiment_title	library_layout	study_accession	study_title	center_name	fastq_ftp	collection_date
SRR397364	SAMN00771159	A04416	Colorectal tumour - Subject 0005-075	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04416	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397364/SRR397364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397364/SRR397364_2.fastq.gz	
SRR397368	SAMN00771163	A04421	Colorectal tumour - Subject 0005-083	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04421	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397368/SRR397368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397368/SRR397368_2.fastq.gz	
SRR397028	SAMN00771147	A02754	Normal colon epithelium - Subject 0005-062	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02754	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397028/SRR397028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397028/SRR397028_2.fastq.gz	
SRR397373	SAMN00771168	A04426	Colorectal tumour - Subject 0005-089	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04426	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397373/SRR397373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397373/SRR397373_2.fastq.gz	
SRR397034	SAMN00771081	A02688	Colorectal tumour - Subject 0005-017	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02688	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397034/SRR397034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397034/SRR397034_2.fastq.gz	
SRR397374	SAMN00771169	A04427	Colorectal tumour - Subject 0005-090	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04427	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397374/SRR397374_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397374/SRR397374_2.fastq.gz	
SRR397035	SAMN00771082	A02689	Colorectal tumour - Subject 0005-019	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02689	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397035/SRR397035_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397035/SRR397035_2.fastq.gz	
SRR397376	SAMN00771171	A04429	Colorectal tumour - Subject 0005-092	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04429	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397376/SRR397376_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397376/SRR397376_2.fastq.gz	
SRR397038	SAMN00771085	A02692	Colorectal tumour - Subject 0005-022	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A02692	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397038/SRR397038_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397038/SRR397038_2.fastq.gz	
SRR397378	SAMN00771173	A04431	Colorectal tumour - Subject 0005-094	Illumina HiSeq 2000 sequencing: RNA-Seq analysis of A04431	PAIRED	PRJNA274775	Derivation of HLA types from shotgun sequence datasets	BCCAGSC	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397378/SRR397378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397378/SRR397378_2.fastq.gz	
