run_accession	fastq_ftp	fastq_md5	library_layout
SRR397064	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397064/SRR397064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397064/SRR397064_2.fastq.gz	1408a044667325a388de6e54e1b11b57;2b48baa8de25a8c7078f9416939f788c	PAIRED
SRR397065	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397065/SRR397065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397065/SRR397065_2.fastq.gz	7dadd61e483ade38299ebcf7e798747d;ee815fb75d39a2336e1645237b2d242e	PAIRED
SRR397068	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397068/SRR397068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397068/SRR397068_2.fastq.gz	e8545077aa4b12d37291a343de0634d3;76ea1f51f31dac4adf3827787f36da8b	PAIRED
SRR397072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397072/SRR397072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397072/SRR397072_2.fastq.gz	ca02296ad8c300d497ca8e962385942a;61094b542fd1596cc0c2db8c478647fc	PAIRED
SRR397088	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397088/SRR397088_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397088/SRR397088_2.fastq.gz	27ef0eca7b03559fe5b6ccfe74730550;ded840ee88348abd3cacdd3d15fb2309	PAIRED
SRR397090	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397090/SRR397090_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397090/SRR397090_2.fastq.gz	18946c56ef21899ab8657b5d4a97efe6;289adfe288cb30fd23ab2cd4b6174572	PAIRED
SRR397093	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397093/SRR397093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397093/SRR397093_2.fastq.gz	360e0d6bfd356a2fb5854ff864ba5355;86619ee3a4c1d31a17bce28f3754b2f0	PAIRED
SRR397097	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397097/SRR397097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397097/SRR397097_2.fastq.gz	f4175585daad89165d2fe69a9b29eb4e;35fabb7c146988eac4bc4e26c5eb4c53	PAIRED
SRR397098	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397098/SRR397098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397098/SRR397098_2.fastq.gz	910de33d1d3b2cc20a9d06118240ee64;6aab770adff2c3ac81b7b21476b8879c	PAIRED
SRR397099	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397099/SRR397099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397099/SRR397099_2.fastq.gz	279618a51a5f8ca388cebc4f05134afe;753d05b63e313a3d6321dcd18f0ad538	PAIRED
SRR397100	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397100/SRR397100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397100/SRR397100_2.fastq.gz	953d80e702c6790d97eb9fb5e58e8cc0;6d2060e3d8ebb4b4bcc5d3c72ae87bd8	PAIRED
SRR397104	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397104/SRR397104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397104/SRR397104_2.fastq.gz	937388addc636512e3e09e972d243a14;233a501d7de3d2a6f35f198d21d3c49b	PAIRED
SRR397106	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397106/SRR397106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397106/SRR397106_2.fastq.gz	5c6ff1b4af14a88ec1dd6b228b26a25f;2bb90a870cf6958a01c3e94e8e30d01f	PAIRED
SRR397107	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397107/SRR397107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397107/SRR397107_2.fastq.gz	24407613d87402074abb4741469e04e5;81964ac1e1c608c216ae5401b9ae6194	PAIRED
SRR397108	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397108/SRR397108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397108/SRR397108_2.fastq.gz	327d2ce24d4ef25db26fa4a450dc28f9;201e360ba47241c6eca8544fa51ab2fe	PAIRED
SRR397110	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397110/SRR397110_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397110/SRR397110_2.fastq.gz	fd91622f6ee5a53ce5e1d56e1610ca38;dcfc7b4e838ccaa4acb0d17fa39e06d7	PAIRED
SRR397112	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397112/SRR397112_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397112/SRR397112_2.fastq.gz	012fc8e8c6800eae65adf15eb57bdf28;4653a15bae6930ee61e9573f7e83b987	PAIRED
SRR397114	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397114/SRR397114_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397114/SRR397114_2.fastq.gz	720d1b96cc936d3b01c0fdb6b2c93d13;733ba3361e655d3bbb28f7851db2e315	PAIRED
SRR397116	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397116/SRR397116_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397116/SRR397116_2.fastq.gz	a8dd457b129b0d46cf9375a3dfaa5ac9;6a08dfc09c3e6acae9863505b3c7204d	PAIRED
SRR397118	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397118/SRR397118_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397118/SRR397118_2.fastq.gz	b7130c6b8b8928373afd6d140bb9b342;274a38c9bc6c5e4fbd4b802eff36c8a3	PAIRED
SRR397121	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397121/SRR397121_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397121/SRR397121_2.fastq.gz	f330ab37fd924b1ac81b597bab6fa048;7a48bc0df9349932e9f6152acce78d2a	PAIRED
SRR397123	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397123/SRR397123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397123/SRR397123_2.fastq.gz	dad4c44e5e6f493aa33eba663cf0a606;08ec19f664965785236d9e21e42feae2	PAIRED
SRR397131	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397131/SRR397131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397131/SRR397131_2.fastq.gz	e72c1367bb855e1aeb786d2198cfb04c;d5e6d9d78d11b581cbcdedd19a59bbc6	PAIRED
SRR397133	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397133/SRR397133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397133/SRR397133_2.fastq.gz	00c7fff967643186bc721f1a13095a33;dc24826d7d01848d7cea0a314b7cc992	PAIRED
SRR397136	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397136/SRR397136_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397136/SRR397136_2.fastq.gz	b9e435275ac44c5df946baebc5624df9;29e0eed256610832dbeb908e7787d7ac	PAIRED
SRR397140	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397140/SRR397140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397140/SRR397140_2.fastq.gz	3e5c08b2d4697eb74e84cefbd71071fb;74e0fa1f62287fb4736ac35ca301bbff	PAIRED
SRR397151	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397151/SRR397151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397151/SRR397151_2.fastq.gz	9e15e0d0d75f55e819cd013c6381ec7f;28f6f55bb61c17f4be39252e55a0db31	PAIRED
SRR397155	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397155/SRR397155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397155/SRR397155_2.fastq.gz	06252b355ddf593e27ee8983e3fcda9d;13a09e4dc02a6d2edac53dfb89378c16	PAIRED
SRR397157	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397157/SRR397157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397157/SRR397157_2.fastq.gz	5a66a5a9c75da123929af914bd750bb8;75915380e86fed2528f820ce48a102b6	PAIRED
SRR397158	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397158/SRR397158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397158/SRR397158_2.fastq.gz	910c52e80a67844385b4ee2bad33916f;2efbb4d0f7e774cbc289a1b1402c927a	PAIRED
SRR397159	ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397159/SRR397159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR397/SRR397159/SRR397159_2.fastq.gz	fff49087f5191cddbfc51b8eb96609db;f28046ba46bd94c36750f5891cd0de0d	PAIRED
